> Executing task: loadp2 -b230400 isp_measure_panel.binary -t -p/dev/ttyUSB0 <

( Entering terminal mode.  Press Ctrl-] or Ctrl-Z to exit. )

Measure Panel Started!

Start()
Setup...
 - Freq1: 335000000
 - Tix: 271
ID Slave...
 - sensor0: Found SLAVE0
 - sensor1: Found SLAVE0
 - sensor2: Found SLAVE0
power-on sensor #0
 - Power-on #0 worked
power-on sensor #1
 - Power-on #1 worked
power-on sensor #2
 - Power-on #2 worked
Pattern, Color, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
justified, Red, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
justified, Red, 0b0000000000000001, 3 of 3, 74, 75, 74, 74
justified, Red, 0b0000000000000011, 3 of 3, 151, 154, 146, 155
justified, Red, 0b0000000000000111, 3 of 3, 229, 232, 220, 235
justified, Red, 0b0000000000001111, 3 of 3, 307, 310, 293, 320
justified, Red, 0b0000000000011111, 3 of 3, 381, 388, 366, 390
justified, Red, 0b0000000000111111, 3 of 3, 459, 467, 439, 473
justified, Red, 0b0000000001111111, 3 of 3, 536, 545, 514, 551
justified, Red, 0b0000000011111111, 3 of 3, 612, 623, 585, 629
justified, Red, 0b0000000111111111, 3 of 3, 689, 700, 660, 708
justified, Red, 0b0000001111111111, 3 of 3, 767, 780, 732, 790
justified, Red, 0b0000011111111111, 3 of 3, 844, 858, 806, 868
justified, Red, 0b0000111111111111, 3 of 3, 919, 935, 878, 944
justified, Red, 0b0001111111111111, 3 of 3, 996, 1013, 952, 1024
justified, Red, 0b0011111111111111, 3 of 3, 1073, 1091, 1025, 1105
justified, Red, 0b0111111111111111, 3 of 3, 1149, 1168, 1097, 1184

justified, Green, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
justified, Green, 0b0000000000000001, 3 of 3, 126, 130, 122, 126
justified, Green, 0b0000000000000011, 3 of 3, 253, 263, 245, 252
justified, Green, 0b0000000000000111, 3 of 3, 383, 398, 368, 384
justified, Green, 0b0000000000001111, 3 of 3, 509, 529, 490, 510
justified, Green, 0b0000000000011111, 3 of 3, 642, 665, 616, 645
