Pattern, Color, # Bits, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
justified, Red, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
justified, Red, 0b0000000000000001, 1, 3 of 3, 72, 74, 72, 72
justified, Red, 0b0000000000000011, 2, 3 of 3, 148, 150, 144, 152
justified, Red, 0b0000000000000111, 3, 3 of 3, 224, 228, 215, 230
justified, Red, 0b0000000000001111, 4, 3 of 3, 300, 305, 290, 306
justified, Red, 0b0000000000011111, 5, 3 of 3, 375, 380, 360, 385
justified, Red, 0b0000000000111111, 6, 3 of 3, 451, 458, 433, 464
justified, Red, 0b0000000001111111, 7, 3 of 3, 527, 535, 504, 544
justified, Red, 0b0000000011111111, 8, 3 of 3, 600, 610, 575, 615
justified, Red, 0b0000000111111111, 9, 3 of 3, 678, 688, 649, 697
justified, Red, 0b0000001111111111, 10, 3 of 3, 752, 765, 719, 774
justified, Red, 0b0000011111111111, 11, 3 of 3, 828, 840, 792, 853
justified, Red, 0b0000111111111111, 12, 3 of 3, 902, 917, 863, 927
justified, Red, 0b0001111111111111, 13, 3 of 3, 977, 993, 935, 1005
justified, Red, 0b0011111111111111, 14, 3 of 3, 1053, 1070, 1006, 1085
justified, Red, 0b0111111111111111, 15, 3 of 3, 1126, 1145, 1077, 1158
justified, Red, 0b1111111111111111, 16, 3 of 3, 1202, 1221, 1150, 1236
justified, Green, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
justified, Green, 0b0000000000000001, 1, 3 of 3, 126, 130, 123, 127
justified, Green, 0b0000000000000011, 2, 3 of 3, 253, 261, 245, 255
justified, Green, 0b0000000000000111, 3, 3 of 3, 380, 394, 368, 380
justified, Green, 0b0000000000001111, 4, 3 of 3, 510, 526, 493, 513
justified, Green, 0b0000000000011111, 5, 3 of 3, 639, 660, 613, 646
justified, Green, 0b0000000000111111, 6, 3 of 3, 766, 792, 736, 771
justified, Green, 0b0000000001111111, 7, 3 of 3, 896, 924, 860, 904
justified, Green, 0b0000000011111111, 8, 3 of 3, 1022, 1056, 980, 1030
justified, Green, 0b0000000111111111, 9, 3 of 3, 1150, 1190, 1104, 1156
justified, Green, 0b0000001111111111, 10, 3 of 3, 1280, 1321, 1229, 1291
justified, Green, 0b0000011111111111, 11, 3 of 3, 1410, 1455, 1351, 1424
justified, Green, 0b0000111111111111, 12, 3 of 3, 1537, 1587, 1474, 1550
justified, Green, 0b0001111111111111, 13, 3 of 3, 1663, 1720, 1595, 1676
justified, Green, 0b0011111111111111, 14, 3 of 3, 1795, 1853, 1719, 1813
justified, Green, 0b0111111111111111, 15, 3 of 3, 1921, 1985, 1841, 1939
justified, Green, 0b1111111111111111, 16, 3 of 3, 2049, 2116, 1964, 2068
justified, Blue, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
justified, Blue, 0b0000000000000001, 1, 3 of 3, 30, 30, 31, 31
justified, Blue, 0b0000000000000011, 2, 3 of 3, 64, 65, 64, 64
justified, Blue, 0b0000000000000111, 3, 3 of 3, 99, 98, 95, 106
justified, Blue, 0b0000000000001111, 4, 3 of 3, 131, 133, 127, 135
justified, Blue, 0b0000000000011111, 5, 3 of 3, 164, 166, 159, 168
justified, Blue, 0b0000000000111111, 6, 3 of 3, 197, 200, 191, 200
justified, Blue, 0b0000000001111111, 7, 3 of 3, 232, 235, 223, 239
justified, Blue, 0b0000000011111111, 8, 3 of 3, 264, 268, 254, 270
justified, Blue, 0b0000000111111111, 9, 3 of 3, 297, 302, 287, 303
justified, Blue, 0b0000001111111111, 10, 3 of 3, 333, 337, 320, 342
justified, Blue, 0b0000011111111111, 11, 3 of 3, 364, 370, 350, 374
justified, Blue, 0b0000111111111111, 12, 3 of 3, 397, 404, 382, 407
justified, Blue, 0b0001111111111111, 13, 3 of 3, 433, 439, 415, 445
justified, Blue, 0b0011111111111111, 14, 3 of 3, 465, 472, 445, 478
justified, Blue, 0b0111111111111111, 15, 3 of 3, 498, 506, 478, 511
